figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.0,0.0,mta,0.9877,98.77,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.1,10.0,mta,0.9866,98.66,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.2,20.0,mta,0.9857,98.57000000000001,1,1,
minmax_sweep,mnist,IID,MNIST IID,fedavg,FedAvg,min_max,0.3,30.0,mta,0.9795,97.95,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.0,0.0,mta,0.9352,93.52,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.1,10.0,mta,0.9578,95.78,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.2,20.0,mta,0.3027,30.270000000000003,1,1,
minmax_sweep,mnist,IID,MNIST IID,krum,Krum,min_max,0.3,30.0,mta,0.0109,1.09,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.0,0.0,mta,0.9859,98.59,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.1,10.0,mta,0.9866,98.66,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.2,20.0,mta,0.9797,97.97,1,1,
minmax_sweep,mnist,IID,MNIST IID,trimmed_mean,Trimmed Mean,min_max,0.3,30.0,mta,0.9484,94.84,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.0,0.0,mta,0.9872,98.72,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.1,10.0,mta,0.9852,98.52,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.2,20.0,mta,0.9585,95.85000000000001,1,1,
minmax_sweep,mnist,IID,MNIST IID,shieldfl,ShieldFL,min_max,0.3,30.0,mta,0.9035,90.35,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.0,0.0,mta,0.987,98.70,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.1,10.0,mta,0.9875,98.75,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.2,20.0,mta,0.9848,98.48,1,1,
minmax_sweep,mnist,IID,MNIST IID,pdfl,PDFL,min_max,0.3,30.0,mta,0.9863,98.63,1,1,
minmax_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,min_max,0.0,0.0,mta,0.9871,98.71,1,1,
minmax_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,min_max,0.1,10.0,mta,0.9843,98.42999999999999,1,1,
minmax_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,min_max,0.2,20.0,mta,0.9866,98.66,1,1,
minmax_sweep,mnist,IID,MNIST IID,pritrust_fl,PriTrust-FL,min_max,0.3,30.0,mta,0.9857,98.57,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,min_max,0.0,0.0,mta,0.9847,98.47,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,min_max,0.1,10.0,mta,0.9851,98.50999999999999,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,min_max,0.2,20.0,mta,0.9847,98.47,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,fedavg,FedAvg,min_max,0.3,30.0,mta,0.982,98.20,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,min_max,0.0,0.0,mta,0.8864,88.64,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,min_max,0.1,10.0,mta,0.8559,85.59,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,min_max,0.2,20.0,mta,0.1135,11.35,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,krum,Krum,min_max,0.3,30.0,mta,0.0958,9.58,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,min_max,0.0,0.0,mta,0.9857,98.57,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,min_max,0.1,10.0,mta,0.985,98.5,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,min_max,0.2,20.0,mta,0.978,97.8,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,trimmed_mean,Trimmed Mean,min_max,0.3,30.0,mta,0.8965,89.65,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,min_max,0.0,0.0,mta,0.9842,98.42,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,min_max,0.1,10.0,mta,0.9833,98.33,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,min_max,0.2,20.0,mta,0.9678,96.78,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,shieldfl,ShieldFL,min_max,0.3,30.0,mta,0.7135,71.35,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,min_max,0.0,0.0,mta,0.9867,98.67,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,min_max,0.1,10.0,mta,0.9846,98.46000000000001,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,min_max,0.2,20.0,mta,0.986,98.6,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pdfl,PDFL,min_max,0.3,30.0,mta,0.9796,97.96,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,min_max,0.0,0.0,mta,0.9854,98.54,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,min_max,0.1,10.0,mta,0.9808,98.08,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,min_max,0.2,20.0,mta,0.9797,97.97,1,1,
minmax_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,min_max,0.3,30.0,mta,0.9578,95.78,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,min_max,0.0,0.0,mta,0.9241,92.41,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,min_max,0.1,10.0,mta,0.9071,90.71000000000001,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,min_max,0.2,20.0,mta,0.8839,88.39,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,min_max,0.3,30.0,mta,0.76,76.00,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,min_max,0.0,0.0,mta,0.8734,87.34,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,min_max,0.1,10.0,mta,0.8761,87.61,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,min_max,0.2,20.0,mta,0.8578,85.78,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,min_max,0.3,30.0,mta,0.5193,51.93,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,min_max,0.0,0.0,mta,0.9229,92.29,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,min_max,0.1,10.0,mta,0.9128,91.28,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,min_max,0.2,20.0,mta,0.8862,88.62,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,min_max,0.3,30.0,mta,0.6547,65.47,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,min_max,0.0,0.0,mta,0.9257,92.57,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,min_max,0.1,10.0,mta,0.9127,91.27,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,min_max,0.2,20.0,mta,0.8393,83.93,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,min_max,0.3,30.0,mta,0.849,84.90,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,min_max,0.0,0.0,mta,0.923,92.30,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,min_max,0.1,10.0,mta,0.9203,92.03,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,min_max,0.2,20.0,mta,0.9163,91.63,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,min_max,0.3,30.0,mta,0.8295,82.95,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,min_max,0.0,0.0,mta,0.922,92.20,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,min_max,0.1,10.0,mta,0.9183,91.83,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,min_max,0.2,20.0,mta,0.9132,91.32000000000001,1,1,
minmax_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,min_max,0.3,30.0,mta,0.7907,79.07,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,min_max,0.0,0.0,mta,0.902,90.20,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,min_max,0.1,10.0,mta,0.8981,89.81,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,min_max,0.2,20.0,mta,0.8714,87.14,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,min_max,0.3,30.0,mta,0.8025,80.25,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,min_max,0.0,0.0,mta,0.5408,54.08,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,min_max,0.1,10.0,mta,0.5,50.0,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,min_max,0.2,20.0,mta,0.4422,44.22,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,min_max,0.3,30.0,mta,0.1004,10.04,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,min_max,0.0,0.0,mta,0.8984,89.84,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,min_max,0.1,10.0,mta,0.8778,87.78,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,min_max,0.2,20.0,mta,0.8338,83.38,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,min_max,0.3,30.0,mta,0.558,55.80,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,min_max,0.0,0.0,mta,0.8803,88.03,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,min_max,0.1,10.0,mta,0.8328,83.28,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,min_max,0.2,20.0,mta,0.7033,70.33,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,min_max,0.3,30.0,mta,0.4227,42.27,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,min_max,0.0,0.0,mta,0.8801,88.01,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,min_max,0.1,10.0,mta,0.8799,87.99,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,min_max,0.2,20.0,mta,0.8783,87.83,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pdfl,PDFL,min_max,0.3,30.0,mta,0.6913,69.13,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,min_max,0.0,0.0,mta,0.8795,87.95,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,min_max,0.1,10.0,mta,0.8354,83.54,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,min_max,0.2,20.0,mta,0.7786,77.86,1,1,
minmax_sweep,cifar,Non-IID,CIFAR-10 Non-IID,pritrust_fl,PriTrust-FL,min_max,0.3,30.0,mta,0.7218,72.18,1,1,
